GENE,CHR,START,STOP,NSNPS,NPARAM,N,ZSTAT,P
ENSG00000153002,3,148508889,148577974,175,27,65967,0.61399,0.26961
ENSG00000163751,3,148583043,148614983,71,7,65967,1.3623,0.086546
ENSG00000163754,3,148709128,148745419,61,10,65967,-0.099349,0.53957
ENSG00000071794,3,148747914,148804341,92,12,65967,0.16637,0.43393
ENSG00000163755,3,148847371,148891519,138,17,65967,1.2937,0.097877
ENSG00000047457,3,148880197,148939842,107,19,65967,0.87761,0.19008
ENSG00000163762,3,149036285,149052201,25,6,65967,-0.46281,0.67825
ENSG00000169908,3,149086809,149095652,18,3,65967,0.031301,0.48751
ENSG00000169903,3,149191761,149221068,181,16,65967,-0.94361,0.82732
ENSG00000018408,3,149235022,149454501,502,41,65967,-1.3886,0.91753
ENSG00000114744,3,149456257,149470286,27,4,65967,-0.032806,0.51309
ENSG00000206199,3,149478892,149686172,360,20,65967,-0.68308,0.75272
ENSG00000082996,3,149530495,149679926,221,16,65967,-0.38027,0.64813
ENSG00000070087,3,149682691,149768575,193,20,65967,0.5509,0.29085
ENSG00000268175,3,149689066,149690535,2,1,65967,-0.63926,0.73867
ENSG00000196428,3,150126122,150184218,128,14,65967,0.96917,0.16623
ENSG00000120742,3,150259781,150321015,148,16,65967,-0.51047,0.69514
ENSG00000144895,3,150264465,150302029,83,11,65967,-0.84515,0.80099
ENSG00000198843,3,150320662,150348222,47,9,65967,0.38824,0.34892
ENSG00000163645,3,150377672,150421758,65,13,65967,-1.6005,0.94525
ENSG00000181788,3,150458914,150481264,39,2,65967,-0.21078,0.58347
ENSG00000214237,3,150588832,150612089,19,4,65967,-1.5398,0.93819
ENSG00000260234,3,150600784,150659530,93,15,65967,-0.22606,0.58942
ENSG00000163646,3,150643950,150690786,116,14,65967,0.7527,0.22581
ENSG00000144893,3,150803484,151154860,669,37,65967,-0.63058,0.73584
ENSG00000174946,3,150915619,150920988,9,3,65967,-0.83521,0.7982
ENSG00000174944,3,150929905,150996255,122,11,65967,-1.5196,0.93569
ENSG00000138271,3,151011891,151034740,38,7,65967,-2.0614,0.98037
ENSG00000181631,3,151044100,151047336,8,3,65967,-1.0914,0.86246
ENSG00000169313,3,151055168,151102600,127,17,65967,-0.8652,0.80654
ENSG00000152580,3,151143172,151176497,53,6,65967,1.1858,0.11785
ENSG00000197953,3,151451704,151479127,88,11,65967,0.63661,0.26219
ENSG00000114771,3,151531825,151546276,75,8,65967,-1.1106,0.86663
ENSG00000198829,3,151591431,151602405,19,4,65967,-2.0938,0.98186
ENSG00000152601,3,151961617,152183569,266,15,65967,1.0339,0.15058
ENSG00000221962,3,152057484,152058779,3,1,65967,-0.60788,0.72837
ENSG00000169860,3,152552736,152555841,5,2,65967,1.9801,0.023843
ENSG00000181467,3,152880029,152886265,6,3,65967,0.30393,0.38059
ENSG00000237787,3,153202284,153220486,60,6,65967,0.31154,0.37769
ENSG00000114790,3,153838792,153975616,250,12,65967,0.60349,0.27309
ENSG00000174953,3,153990335,154042286,72,8,65967,1.91,0.028068
ENSG00000174948,3,154055461,154147504,188,19,65967,1.7136,0.043302
ENSG00000196549,3,154741913,154901497,222,27,65967,0.42974,0.33369
ENSG00000114805,3,155093369,155462856,782,22,65967,1.7471,0.040311
ENSG00000174928,3,155480401,155524140,84,10,65967,2.0679,0.019325
ENSG00000169359,3,155538813,155572218,42,5,65967,0.29425,0.38428
ENSG00000163655,3,155588325,155661815,188,9,65967,-0.054903,0.52189
ENSG00000169282,3,155755490,156256545,931,55,65967,-0.28121,0.61072
ENSG00000114850,3,156257929,156272973,45,6,65967,0.35605,0.3609
ENSG00000163659,3,156391024,156424559,54,8,65967,-1.4388,0.9249
ENSG00000197980,3,156543270,156763918,540,20,65967,0.28715,0.387
ENSG00000163660,3,156864297,156878549,23,3,65967,-0.30803,0.62097
ENSG00000197415,3,156977531,157251408,655,31,65967,0.72108,0.23543
ENSG00000163661,3,157154578,157161417,10,3,65967,0.27404,0.39203
ENSG00000174899,3,157261035,157395538,341,24,65967,0.032636,0.48698
ENSG00000168779,3,157814948,157824292,21,2,65967,0.74868,0.22703
ENSG00000174891,3,157823644,158263519,1137,16,65967,0.20424,0.41908
ENSG00000178053,3,158288952,158325041,104,10,65967,-0.77905,0.78203
ENSG00000168827,3,158362067,158410364,151,7,65967,-0.86325,0.806
ENSG00000079257,3,158363611,158390482,85,6,65967,-0.80412,0.78934
ENSG00000118849,3,158414681,158450485,96,11,65967,-1.5277,0.9367
ENSG00000118855,3,158449987,158547508,214,23,65967,-0.98363,0.83735
ENSG00000250588,3,158680024,159615155,1427,71,65967,0.53104,0.2977
ENSG00000214216,3,158680717,158984096,504,27,65967,-0.7782,0.78177
ENSG00000151967,3,159557650,159615149,66,13,65967,-0.50501,0.69322
ENSG00000168811,3,159706537,159713806,12,3,65967,-1.018,0.84566
ENSG00000242107,3,159733811,159749210,39,4,65967,-1.0743,0.85865
ENSG00000248710,3,159945241,160167617,230,18,65967,-0.70967,0.76104
ENSG00000068885,3,159974774,160117668,123,12,65967,-0.7055,0.75975
ENSG00000113810,3,160117062,160152750,52,7,65967,-0.71622,0.76307
ENSG00000213186,3,160150233,160203561,66,8,65967,-0.64243,0.7397
ENSG00000186432,3,160212783,160283376,81,8,65967,-0.63675,0.73786
ENSG00000179674,3,160394948,160396233,2,1,65967,1.852,0.032014
ENSG00000163590,3,160473390,160796695,636,24,65967,0.4364,0.33127
ENSG00000169255,3,160801671,160823172,35,4,65967,0.30241,0.38117
ENSG00000169251,3,160822484,160971320,234,17,65967,1.6233,0.052259
ENSG00000196542,3,161062580,161090668,77,9,65967,2.1886,0.014313
ENSG00000182447,3,161214596,161221730,26,3,65967,2.5419,0.0055133
ENSG00000090402,3,164696686,164796283,164,8,65967,0.97601,0.16453
ENSG00000121871,3,164904508,164914897,12,2,65967,0.95625,0.16947
ENSG00000114200,3,165490692,165555260,132,13,65967,-0.37378,0.64572
ENSG00000169064,3,166958075,167099134,223,16,65967,0.37293,0.3546
ENSG00000114204,3,167159577,167196792,91,8,65967,-0.72272,0.76508
ENSG00000174776,3,167196472,167371771,190,19,65967,-0.34857,0.63629
ENSG00000114209,3,167401086,167452727,53,2,65967,-0.5723,0.71644
ENSG00000163536,3,167453031,167543356,246,15,65967,1.0891,0.13806
ENSG00000173905,3,167726465,167813763,171,18,65967,0.11645,0.45365
ENSG00000085276,3,168801287,169381406,1316,88,65967,1.7667,0.038638
ENSG00000184378,3,169484709,169487683,9,2,65967,0.71317,0.23787
ENSG00000085274,3,169490619,169507504,15,2,65967,0.6952,0.24346
ENSG00000171757,3,169511216,169530774,38,3,65967,0.27474,0.39176
ENSG00000188306,3,169539710,169555563,30,5,65967,0.78919,0.215
ENSG00000114248,3,169556967,169587718,55,6,65967,1.3198,0.09345
ENSG00000187033,3,169629360,169656963,47,6,65967,-0.40903,0.65874
ENSG00000008952,3,169684423,169716161,39,2,65967,1.8342,0.033311
ENSG00000173890,3,169755717,169803191,81,6,65967,1.4753,0.070067
ENSG00000173889,3,169804520,169899537,90,7,65967,1.293,0.098002
ENSG00000163558,3,169940153,170023769,97,10,65967,0.10737,0.45725
ENSG00000136603,3,170075466,170114623,53,3,65967,0.0068003,0.49729
ENSG00000013297,3,170136653,170578169,873,49,65967,1.4791,0.069554
ENSG00000013293,3,170177372,170303863,211,28,65967,1.0967,0.13638
ENSG00000163584,3,170582664,170588272,10,2,65967,2.2611,0.011877
ENSG00000163577,3,170606204,170626482,32,5,65967,2.9017,0.0018556
ENSG00000163581,3,170714137,170744539,63,4,65967,1.9525,0.025438
ENSG00000154310,3,170779128,171178197,702,72,65967,-0.13787,0.55483
ENSG00000075651,3,171318195,171528740,413,13,65967,0.49124,0.31163
ENSG00000183657,3,171509580,171527714,55,6,65967,1.1904,0.11695
ENSG00000186329,3,171561139,171656505,229,19,65967,1.4517,0.073296
ENSG00000075420,3,171757418,172119455,614,55,65967,-0.26543,0.60466
ENSG00000203443,3,172034218,172039513,7,3,65967,1.5496,0.060616
ENSG00000121853,3,172162923,172166246,8,3,65967,-1.5818,0.94316
ENSG00000121858,3,172223298,172241297,61,10,65967,0.43628,0.33132
ENSG00000144959,3,172348039,172429008,161,26,65967,1.4809,0.069321
ENSG00000114346,3,172468472,172539264,117,9,65967,0.47905,0.31595
ENSG00000144962,3,172607148,172859058,514,34,65967,-0.83273,0.7975
ENSG00000169760,3,173114074,174004434,1891,99,65967,2.2915,0.010968
ENSG00000177694,3,174156363,175523428,3442,177,65967,2.1997,0.013914
ENSG00000177565,3,176737143,176915261,336,21,65967,2.2902,0.011005
ENSG00000197584,3,177990720,178562217,1355,71,65967,0.41444,0.33928
ENSG00000172667,3,178735011,178790067,88,10,65967,-0.93026,0.82388
ENSG00000121879,3,178865902,178957881,183,17,65967,-0.93383,0.8248
ENSG00000171121,3,178957530,178984790,123,16,65967,-0.22261,0.58808
ENSG00000121864,3,179040779,179053323,14,3,65967,0.11405,0.4546
ENSG00000171109,3,179065480,179112719,61,8,65967,-0.15962,0.56341
ENSG00000114450,3,179116990,179169378,68,9,65967,0.04456,0.48223
ENSG00000136518,3,179280668,179306196,32,3,65967,-1.0974,0.86377
ENSG00000136522,3,179306073,179322442,21,2,65967,-1.1389,0.87262
ENSG00000136521,3,179322478,179345435,20,3,65967,-0.46208,0.67799
ENSG00000058056,3,179370543,179507189,264,22,65967,-0.30918,0.62141
ENSG00000114757,3,179512746,179754841,569,34,65967,-0.69946,0.75787
ENSG00000163728,3,180319918,180335616,10,3,65967,3.9676,3.6294e-05
ENSG00000145075,3,180320646,180588793,458,22,65967,2.5032,0.0061531
ENSG00000114416,3,180585929,180700541,140,8,65967,5.4382,2.6913e-08
ENSG00000205981,3,180701497,180707562,2,1,65967,4.3709,6.1864e-06
ENSG00000058063,3,182511288,182639423,206,9,65967,1.9076,0.028219
ENSG00000043093,3,182655862,182703741,42,5,65967,0.40556,0.34253
ENSG00000078070,3,182733006,182833863,168,12,65967,1.3094,0.095203
ENSG00000078081,3,182840001,182881627,137,16,65967,0.25652,0.39877
ENSG00000053524,3,182895831,183146566,469,34,65967,0.073626,0.47065
ENSG00000176597,3,182971032,183016292,9,2,65967,-0.089735,0.53575
ENSG00000172578,3,183205319,183273477,104,8,65967,-0.72513,0.76581
ENSG00000114796,3,183353356,183402265,161,2,65967,0.84627,0.1987
ENSG00000163872,3,183415606,183530413,156,9,65967,1.6083,0.053883
ENSG00000180834,3,183533664,183543382,24,4,65967,1.4369,0.07538
ENSG00000175193,3,183547173,183602721,141,13,65967,0.88736,0.18744
ENSG00000114770,3,183637722,183735803,194,15,65967,0.045061,0.48203
ENSG00000186090,3,183749332,183757157,32,6,65967,0.039282,0.48433
ENSG00000178084,3,183770835,183778459,22,5,65967,-1.159,0.87676
ENSG00000186038,3,183814852,183824783,19,4,65967,-0.30431,0.61956
ENSG00000145191,3,183852826,184402546,1136,105,65967,-0.47266,0.68177
ENSG00000161202,3,183873176,183891398,23,5,65967,0.57339,0.28319
ENSG00000161203,3,183892477,183901879,17,5,65967,0.70504,0.24039
ENSG00000161204,3,183903811,183911800,21,5,65967,0.28619,0.38737
ENSG00000145198,3,183948217,183960117,16,2,65967,0.1112,0.45573
ENSG00000214160,3,183960089,183967336,3,1,65967,0.40594,0.34239
ENSG00000145194,3,183967438,184010819,58,8,65967,1.0415,0.14882
ENSG00000163888,3,183977001,183979251,3,1,65967,0.20027,0.42064
ENSG00000175166,3,184016497,184026842,13,3,65967,-0.68564,0.75353
ENSG00000114867,3,184032283,184053146,14,4,65967,-0.98254,0.83708
ENSG00000175182,3,184053714,184064063,10,4,65967,-0.96104,0.83173
ENSG00000114859,3,184063973,184079439,16,4,65967,-1.8818,0.97007
ENSG00000163882,3,184079506,184086384,7,2,65967,-0.86654,0.8069
ENSG00000090534,3,184089723,184095932,11,3,65967,0.13071,0.448
ENSG00000090539,3,184097861,184108524,2,1,65967,0.48501,0.31384
ENSG00000224153,3,184119325,184157436,114,17,65967,-1.3726,0.91506
ENSG00000182580,3,184279572,184300197,44,8,65967,-0.55093,0.70916
ENSG00000177383,3,184428156,184429836,3,1,65967,-0.94681,0.82813
ENSG00000156931,3,184529931,184770402,354,18,65967,0.27436,0.3919
ENSG00000187068,3,184795838,184870802,179,17,65967,2.1504,0.015763
ENSG00000113790,3,184908412,184999778,120,10,65967,0.69042,0.24496
ENSG00000073803,3,185000729,185206885,413,23,65967,-0.20891,0.58274
ENSG00000163900,3,185194284,185216845,14,2,65967,0.86373,0.19387
ENSG00000163898,3,185224050,185270401,73,5,65967,2.0182,0.021786
ENSG00000163904,3,185300284,185351339,102,6,65967,0.50297,0.30749
ENSG00000073792,3,185361527,185542844,179,16,65967,0.38461,0.35026
ENSG00000163915,3,185430316,185447575,19,6,65967,3.064,0.0010919
ENSG00000136527,3,185633694,185655924,21,5,65967,2.7376,0.003094
ENSG00000244405,3,185764097,185828107,63,6,65967,1.947,0.025765
ENSG00000058866,3,185823457,186080026,389,54,65967,1.1572,0.12359
ENSG00000213139,3,186256230,186264491,8,3,65967,-2.2528,0.98786
ENSG00000113838,3,186263862,186288332,49,7,65967,-2.0366,0.97916
ENSG00000090520,3,186285192,186315061,74,4,65967,-1.0584,0.85506
ENSG00000145192,3,186330712,186339107,15,3,65967,-1.7157,0.9569
ENSG00000090512,3,186353758,186370930,31,7,65967,-1.1585,0.87667
ENSG00000113905,3,186378005,186396029,46,7,65967,-0.85766,0.80446
ENSG00000113889,3,186435065,186461743,140,13,65967,-0.48975,0.68784
ENSG00000156976,3,186500994,186507689,9,4,65967,2.7085,0.0033795
ENSG00000163918,3,186507669,186524847,24,4,65967,1.8526,0.031968
ENSG00000181092,3,186560463,186576252,30,8,65967,-0.072841,0.52903
ENSG00000073849,3,186648274,186796341,376,49,65967,0.21073,0.41655
ENSG00000163923,3,186838736,186898696,103,9,65967,0.82065,0.20592
ENSG00000175077,3,186915274,186919253,5,2,65967,1.5651,0.058783
ENSG00000127241,3,186935942,187009810,167,25,65967,0.38362,0.35063
ENSG00000136514,3,187086120,187089864,13,5,65967,-1.304,0.90389
ENSG00000157005,3,187386694,187388187,5,2,65967,-0.55874,0.71183
ENSG00000198471,3,187416047,187420345,14,3,65967,-1.0023,0.84189
ENSG00000228804,3,187420101,187451637,84,10,65967,-0.12686,0.55047
ENSG00000113916,3,187439165,187463515,49,8,65967,0.27272,0.39253
ENSG00000145012,3,187871072,188608460,1401,133,65967,1.8633,0.031213
ENSG00000213132,3,187896331,187898598,13,4,65967,2.6527,0.0039925
ENSG00000188001,3,188665003,189043093,484,40,65967,-0.52654,0.70074
ENSG00000073282,3,189349205,189615068,660,81,65967,-0.24422,0.59647
ENSG00000090530,3,189674517,189840226,460,21,65967,2.4478,0.0071865
ENSG00000163347,3,190023490,190040264,68,15,65967,-0.70247,0.75881
ENSG00000113946,3,190040330,190129932,394,23,65967,-0.36334,0.64182
ENSG00000198398,3,190146444,190167665,63,13,65967,-0.78031,0.7824
ENSG00000196083,3,190231840,190375843,335,44,65967,-0.34702,0.63571
ENSG00000205835,3,190570666,190610218,57,9,65967,-0.21983,0.587
ENSG00000188729,3,190917030,190983404,180,21,65967,-0.11239,0.54474
ENSG00000188958,3,190984957,191048325,251,16,65967,1.8677,0.030899
ENSG00000152492,3,191046866,191116459,262,15,65967,1.6475,0.049723
ENSG00000253548,3,191178952,191179245,1,1,65967,3.8549,5.789e-05
ENSG00000114279,3,191857184,192485553,1146,82,65967,0.54095,0.29427
ENSG00000180611,3,192514604,192635950,244,17,65967,-1.2721,0.89834
ENSG00000127252,3,192958914,192995527,67,7,65967,-0.7613,0.77676
ENSG00000187527,3,192992579,193096632,287,20,65967,-0.63174,0.73622
ENSG00000127249,3,193119866,193310900,339,25,65967,0.78651,0.21578
ENSG00000198836,3,193310933,193415612,229,12,65967,0.47704,0.31667
ENSG00000114315,3,193853934,193856521,1,1,65967,1.3441,0.08946
ENSG00000178772,3,194060494,194072057,37,4,65967,-0.90646,0.81765
ENSG00000172061,3,194075976,194090472,90,6,65967,-0.028942,0.51154
ENSG00000178732,3,194115550,194119995,13,2,65967,-0.87173,0.80832
ENSG00000133657,3,194123401,194219093,121,9,65967,0.35857,0.35996
ENSG00000145014,3,194308402,194354418,204,18,65967,1.1045,0.13469
ENSG00000041802,3,194361517,194393206,121,7,65967,1.2036,0.11437
ENSG00000185112,3,194406622,194409762,11,3,65967,1.082,0.13962
ENSG00000173950,3,194789008,194991896,474,31,65967,-0.12797,0.55092
ENSG00000114331,3,194995465,195163807,228,6,65967,1.8914,0.029287
ENSG00000184203,3,195241221,195270209,33,3,65967,-0.40645,0.65779
ENSG00000145113,3,195473636,195539148,120,11,65967,-0.88277,0.81132
ENSG00000061938,3,195590235,195638816,44,6,65967,0.16503,0.43446
ENSG00000072274,3,195754054,195809060,137,15,65967,-0.21547,0.5853
ENSG00000163958,3,195924320,195938308,62,10,65967,1.7274,0.04205
ENSG00000163959,3,195938358,195970049,90,13,65967,1.4158,0.078423
ENSG00000161217,3,195941093,196014828,157,13,65967,1.4689,0.070933
ENSG00000272741,3,195975101,196045093,141,10,65967,1.0397,0.14924
ENSG00000213123,3,196018090,196045170,54,6,65967,0.76163,0.22314
ENSG00000273331,3,196042953,196065244,61,8,65967,1.9187,0.027512
ENSG00000145107,3,196046213,196065374,56,7,65967,1.9423,0.026049
ENSG00000163960,3,196074533,196159345,85,7,65967,1.6558,0.048877
ENSG00000163961,3,196195654,196230639,68,5,65967,0.58134,0.28051
ENSG00000214097,3,196233748,196242237,10,1,65967,0.14224,0.44345
ENSG00000185798,3,196281056,196295545,21,2,65967,-0.99099,0.83915
ENSG00000174013,3,196295482,196315930,29,4,65967,0.21863,0.41347
ENSG00000174004,3,196366557,196388875,15,4,65967,0.6334,0.26324
ENSG00000163964,3,196366646,196462878,146,15,65967,-0.57533,0.71747
ENSG00000174007,3,196433148,196439164,22,3,65967,-0.17533,0.56959
ENSG00000180370,3,196466728,196559518,238,19,65967,1.7808,0.037472
ENSG00000119231,3,196594727,196661585,126,10,65967,0.75171,0.22611
ENSG00000114503,3,196662273,196669468,20,4,65967,0.59171,0.27702
ENSG00000119227,3,196673214,196695931,42,8,65967,2.2043,0.013753
ENSG00000163975,3,196715492,196756687,35,5,65967,-0.2138,0.58465
ENSG00000075711,3,196769431,197026171,538,19,65967,2.0304,0.021158
ENSG00000161267,3,197236654,197300194,181,18,65967,-0.021109,0.50842
ENSG00000145016,3,197398264,197476598,90,2,65967,0.0084723,0.49662
ENSG00000122068,3,197464050,197514467,36,2,65967,0.45452,0.32473
ENSG00000186001,3,197518097,197615307,98,9,65967,0.63889,0.26145
ENSG00000114473,3,197615946,197687013,161,12,65967,1.4213,0.077621
ENSG00000182899,3,197676858,197683481,14,2,65967,0.13783,0.44519
ENSG00000185621,3,197687071,197770591,176,11,65967,1.1905,0.11693
ENSG00000197701,4,53179,88099,33,4,65967,0.84072,0.20025
ENSG00000186777,4,264464,299110,73,5,65967,1.0717,0.14192
ENSG00000131127,4,331603,378653,106,8,65967,-0.2861,0.6126
ENSG00000182903,4,419604,492945,170,11,65967,-0.7215,0.7647
ENSG00000174227,4,492989,533985,111,5,65967,-0.10325,0.54112
ENSG00000133256,4,619373,664571,108,6,65967,1.5368,0.062173
ENSG00000169020,4,666225,668127,2,1,65967,2.4093,0.0079908
ENSG00000215375,4,667369,675822,3,1,65967,2.2878,0.011075
ENSG00000185619,4,699537,764428,144,17,65967,1.896,0.028977
ENSG00000168993,4,778745,819986,118,15,65967,0.41686,0.33839
ENSG00000178950,4,843064,926161,268,22,65967,0.60255,0.2734
ENSG00000127419,4,926175,952444,48,8,65967,1.8483,0.032281
ENSG00000145214,4,952675,980683,48,8,65967,0.82288,0.20529
ENSG00000145217,4,972861,987228,16,4,65967,0.98492,0.16233
ENSG00000127415,4,980785,998316,8,2,65967,0.7789,0.21802
ENSG00000127418,4,1003724,1020685,1,1,65967,0.34061,0.3667
ENSG00000178222,4,1050038,1107350,231,10,65967,1.6217,0.052429
ENSG00000159674,4,1160720,1202750,61,12,65967,1.3231,0.092901
ENSG00000159692,4,1205236,1243741,107,12,65967,1.7031,0.044276
ENSG00000090316,4,1283639,1333935,226,11,65967,0.44935,0.32659
ENSG00000163945,4,1341054,1381837,113,10,65967,1.7224,0.0425
ENSG00000179979,4,1385340,1389780,12,2,65967,1.4587,0.072324
ENSG00000235608,4,1396720,1400119,4,2,65967,0.97406,0.16501
ENSG00000174137,4,1619642,1686029,159,7,65967,-0.29038,0.61424
ENSG00000163950,4,1694527,1714282,37,7,65967,-0.10514,0.54187
ENSG00000168936,4,1717679,1723085,23,5,65967,0.26794,0.39437
ENSG00000013810,4,1723227,1746898,121,11,65967,0.2186,0.41348
ENSG00000068078,4,1795034,1810599,1,1,65967,-0.1634,0.5649
ENSG00000109685,4,1873151,1983934,2,1,65967,1.0722,0.14181
ENSG00000185049,4,1984441,2043630,33,2,65967,-0.33841,0.63247
ENSG00000185818,4,2061239,2070816,8,1,65967,-1.4317,0.92388
ENSG00000130997,4,2073645,2243848,329,7,65967,-0.31097,0.62209
ENSG00000214367,4,2229191,2243891,28,3,65967,-0.65879,0.74499
ENSG00000123933,4,2249159,2264021,31,3,65967,1.9647,0.024727
ENSG00000159733,4,2271309,2420390,402,27,65967,1.131,0.12902
ENSG00000249428,4,2451700,2464668,23,4,65967,0.81115,0.20864
ENSG00000063978,4,2463947,2627047,258,21,65967,1.5288,0.063156
ENSG00000125386,4,2626988,2734292,217,18,65967,1.4107,0.079164
ENSG00000168884,4,2743375,2758103,49,8,65967,1.6589,0.048573
ENSG00000087266,4,2794750,2842825,100,13,65967,-1.1158,0.86776
ENSG00000087274,4,2845584,2931803,89,8,65967,-0.67544,0.7503
ENSG00000109736,4,2932288,2936586,4,2,65967,-0.99762,0.84077
ENSG00000087269,4,2939660,2965112,42,4,65967,0.39526,0.34632
ENSG00000125388,4,2965335,3042474,206,13,65967,0.26834,0.39422
ENSG00000197386,4,3076408,3245676,288,16,65967,-0.30611,0.62024
ENSG00000188981,4,3246096,3273465,81,6,65967,0.13995,0.44435
ENSG00000159788,4,3294755,3441640,242,29,65967,-0.51032,0.69508
ENSG00000109758,4,3443614,3451211,21,6,65967,-0.44134,0.67052
ENSG00000175920,4,3465033,3503200,174,21,65967,0.13626,0.44581
ENSG00000163956,4,3508103,3534286,92,10,65967,0.0032864,0.49869
ENSG00000163982,4,4190530,4228616,70,7,65967,-1.4474,0.92611
ENSG00000132406,4,4237269,4249950,72,2,65967,0.050076,0.48003
ENSG00000145220,4,4269428,4291896,73,6,65967,0.1029,0.45902
ENSG00000168826,4,4291924,4323513,85,6,65967,-1.2246,0.88964
ENSG00000168824,4,4349867,4420785,180,26,65967,1.7078,0.04384
ENSG00000168818,4,4417469,4544073,240,13,65967,2.537,0.0055904
ENSG00000163132,4,4861393,4865663,13,3,65967,3.5838,0.00016933
ENSG00000170891,4,5016313,5021199,19,2,65967,-0.40868,0.65861
ENSG00000152953,4,5053169,5502725,1530,76,65967,1.4507,0.073428
ENSG00000082929,4,5526296,5529528,4,1,65967,-0.3191,0.62518
ENSG00000173040,4,5544499,5711275,469,44,65967,3.5639,0.0001827
ENSG00000072840,4,5712924,5830772,456,52,65967,0.41296,0.33982
ENSG00000072832,4,5749811,5894785,469,66,65967,-0.12086,0.5481
ENSG00000181215,4,5958845,5991545,170,22,65967,2.593,0.0047568
ENSG00000152969,4,6027926,6202318,286,43,65967,0.50064,0.30831
ENSG00000109501,4,6271576,6304992,143,7,65967,-0.080156,0.53194
ENSG00000074211,4,6322305,6565327,547,44,65967,1.295,0.097656
ENSG00000013288,4,6576902,6625089,63,8,65967,-1.269,0.89778
ENSG00000179010,4,6641818,6644472,3,1,65967,0.34378,0.36551
ENSG00000163993,4,6694796,6698897,5,1,65967,-0.96952,0.83386
ENSG00000186222,4,6717842,6719387,1,1,65967,-0.052162,0.5208
ENSG00000170871,4,6783102,6885897,81,10,65967,0.93369,0.17523
ENSG00000132405,4,6910969,7034845,323,14,65967,2.1861,0.014403
ENSG00000173013,4,7042579,7044728,2,1,65967,1.2419,0.10714
ENSG00000173011,4,7043626,7059679,35,5,65967,1.2401,0.10746
ENSG00000109519,4,7060633,7069924,19,3,65967,1.572,0.057974
ENSG00000184985,4,7194265,7744554,1874,169,65967,0.14816,0.44111
ENSG00000178597,4,7432022,7436700,33,7,65967,0.05791,0.47691
ENSG00000196526,4,7760441,7941653,812,34,65967,-0.94967,0.82886
ENSG00000228919,4,7940728,7942022,8,1,65967,0.43384,0.3322
ENSG00000163995,4,7967039,8160559,460,67,65967,-0.17191,0.56825
ENSG00000125089,4,8183799,8243530,84,13,65967,-0.99894,0.84109
ENSG00000170801,4,8271492,8308838,45,3,65967,0.52919,0.29834
ENSG00000087008,4,8368009,8442450,229,23,65967,1.0803,0.14
ENSG00000155275,4,8437867,8495258,146,16,65967,1.0358,0.15015
ENSG00000155269,4,8560452,8621486,135,15,65967,0.91024,0.18135
ENSG00000109625,4,8594387,8621488,114,12,65967,1.0324,0.15095
ENSG00000219492,4,9385743,9390709,4,1,65967,0.69421,0.24378
ENSG00000186146,4,9446260,9452240,1,1,65967,0.70181,0.2414
ENSG00000109667,4,9772777,10056560,1022,21,65967,0.96979,0.16608
ENSG00000169676,4,9783258,9785632,2,1,65967,1.284,0.099568
ENSG00000071127,4,10075963,10118573,141,13,65967,0.92904,0.17643
ENSG00000178163,4,10441498,10459034,22,6,65967,2.8008,0.002549
ENSG00000109684,4,10488019,10686489,590,26,65967,-0.072694,0.52898
ENSG00000002587,4,11394774,11431389,63,18,65967,-0.63003,0.73566
ENSG00000157869,4,13362978,13485989,78,5,65967,0.42627,0.33495
ENSG00000109705,4,13542454,13546674,3,2,65967,2.3061,0.010552
ENSG00000038219,4,13570362,13629347,65,8,65967,1.9967,0.022928
ENSG00000137449,4,15004298,15071777,128,14,65967,1.5831,0.056695
ENSG00000163145,4,15341442,15447790,242,17,65967,-0.2759,0.60869
ENSG00000048342,4,15471489,15603180,238,27,65967,0.094572,0.46233
ENSG00000118564,4,15606162,15683302,195,15,65967,0.11821,0.45295
ENSG00000237765,4,15683285,15707188,50,7,65967,0.20226,0.41986
ENSG00000109743,4,15704573,15739936,76,10,65967,0.70668,0.23988
ENSG00000004468,4,15779898,15854853,199,16,65967,-0.92715,0.82307
ENSG00000137440,4,15937192,15940363,9,3,65967,-1.0037,0.84224
ENSG00000137441,4,15961866,15970932,26,5,65967,-1.9861,0.97649
ENSG00000007062,4,15964699,16086001,306,43,65967,0.074098,0.47047
ENSG00000169762,4,16162128,16229033,200,19,65967,0.93668,0.17446
ENSG00000169744,4,16503164,16900432,727,80,65967,1.043,0.14847
ENSG00000151552,4,17461884,17513857,204,25,65967,-0.30077,0.6182
ENSG00000249581,4,17516788,17528727,29,6,65967,0.11943,0.45247
ENSG00000002549,4,17578815,17609595,53,2,65967,1.7569,0.039468
ENSG00000118579,4,17616254,17635728,36,1,65967,1.7985,0.036053
ENSG00000047662,4,17630929,17783135,279,8,65967,1.7777,0.037723
ENSG00000163257,4,17802278,17812381,12,2,65967,0.746,0.22783
ENSG00000109805,4,17812525,17846485,54,5,65967,0.78558,0.21606
ENSG00000178177,4,17842822,18023499,344,11,65967,0.46462,0.3211
ENSG00000145147,4,20254883,20622184,612,63,65967,0.55364,0.28991
ENSG00000163138,4,20697905,20754530,169,13,65967,0.95983,0.16857
ENSG00000185774,4,20730239,21950422,3571,154,65967,0.045847,0.48172
ENSG00000152990,4,22346694,22517677,429,35,65967,1.3489,0.088684
ENSG00000109819,4,23756664,23905712,298,46,65967,0.15534,0.43828
ENSG00000109606,4,24519064,24586173,85,11,65967,-0.23658,0.59351
